game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
jdsZdqm4,black,bullet,72,1,1.4230769230769231,91.65714285714286,0.3055555555555556,0.1388888888888889,0.0555555555555555,1,17.0,6,1.0,0,0,1,Rapport-Jobava System,D01,resign,1,0,-1,0,1.0,6.403911568196084e-23
2WzTqTeg,white,bullet,68,1,2.0,102.82352941176472,0.2647058823529412,0.1176470588235294,0.0,2,8.0,8,1.411764705882353,0,1,1,Sicilian Defense: Taimanov Variation,B46,resign,1,1,-1,0,0.0,1.0
BdIlhVem,white,bullet,25,1,4.0625,73.08333333333333,0.3846153846153846,0.1538461538461538,0.0,4,11.0,7,0.6153846153846154,0,1,1,Sicilian Defense,B27,resign,1,1,-1,0,0.0,1.0
X2ooxxhO,black,bullet,78,1,4.665909090909091,109.60526315789474,0.1794871794871795,0.0512820512820512,0.0512820512820512,0,4.0,6,0.8205128205128205,0,0,1,King's Indian Attack: Symmetrical Defense,A05,resign,1,0,-1,0,1.0,7.69338658957151e-34
iYUxzt1g,white,bullet,95,1,1.5115740740740742,88.55319148936171,0.25,0.0833333333333333,0.0833333333333333,1,5.0,8,0.875,0,0,1,Zukertort Opening: Kingside Fianchetto,A04,resign,1,0,-1,0,1.0,1.12205795308385e-17
jsnf9Tyl,white,bullet,164,0,0.2963800904977375,73.20731707317073,0.1829268292682926,0.0975609756097561,0.1097560975609756,3,6.0,6,1.2682926829268293,0,0,1,King's Indian Attack,A07,outoftime,1,0,-1,0,1.0,5.340070923712395e-19
ZZImaDvj,black,bullet,146,1,0.7963615023474179,82.625,0.1917808219178082,0.0821917808219178,0.2054794520547945,0,4.0,5,2.328767123287671,0,0,1,Queen's Pawn Game: Modern Defense,A40,mate,1,0,-1,0,1.0,1.835720254919809e-23
uZ8Ugjbm,black,bullet,47,-1,2.316532258064516,208.7826086956522,0.2608695652173913,0.0,0.0,3,17.0,4,0.5217391304347826,1,0,1,"Queen's Gambit Accepted: Classical Defense, Main Line",D27,resign,0,1,-1,1,0.0,1.0
fNUpn0oK,white,bullet,118,1,1.933544303797468,74.13559322033899,0.2372881355932203,0.135593220338983,0.0847457627118644,2,4.0,5,0.1186440677966101,0,0,1,"Réti Opening: Anglo-Slav Variation, with g3",A11,resign,1,0,-1,0,1.0,3.7253169722679787e-25
MSkP4tKc,white,bullet,41,1,5.6625,86.9,0.238095238095238,0.0,0.0,2,4.0,4,0.1904761904761904,0,0,1,King's Indian Attack,A05,resign,1,0,-1,0,1.0,5.155647996341737e-42
