PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ThemeList
3Mls7,r1bq1rk1/ppp2p2/1bnp3p/4p1p1/2BPn3/2PQ1NBP/PP3PP1/RN3RK1 b - - 1 11,e4g3 d3g6 g8h8 g6h6,1631,76,94,1256,crushing kingsideAttack middlegame pin short,https://lichess.org/gzjBGiDY/black#22,Italian_Game Italian_Game_Classical_Variation,"['crushing', 'kingsideAttack', 'middlegame', 'pin', 'short']"
1s4Cn,8/pp2k3/2pn1p2/8/8/1q1BQ1P1/5P1P/6K1 b - - 1 36,e7f7 d3g6 f7g6 e3b3,1126,79,88,472,crushing discoveredAttack endgame short,https://lichess.org/2UOwTSLi/black#72,,"['crushing', 'discoveredAttack', 'endgame', 'short']"
11edK,rnbq1r2/pp4p1/5p1k/2ppP1NP/5P2/3Q4/PPP3P1/R3K2R b KQ - 2 16,f6g5 d3g6,908,88,96,655,mate mateIn1 middlegame oneMove,https://lichess.org/VEy3XreN/black#32,Trompowsky_Attack Trompowsky_Attack_Classical_Defense,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
36Svq,6k1/8/1B2N3/6p1/4p2p/b1P1P2P/2R2nPK/5r2 w - - 0 36,e6g5 f1h1,1386,121,70,37,endgame mate mateIn1 oneMove,https://lichess.org/vE1I4raS#71,,"['endgame', 'mate', 'mateIn1', 'oneMove']"
40F1A,r2q1rk1/pp2bppp/8/3pB1P1/3P3n/3Q1B2/PP3P2/R4K1R b - - 3 20,h4f3 d3h7,693,104,99,1196,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fLjHh7zF/black#40,,"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']"
0gnwL,4r1k1/p4p1p/5qp1/8/4P3/5KP1/P2Q1PP1/2R5 w - - 4 31,f3e3 f6g5 e3e2 e8e4,1288,78,91,4483,crushing deflection endgame short,https://lichess.org/USItMCN2#61,,"['crushing', 'deflection', 'endgame', 'short']"
1fbUd,1r1r2k1/R4pp1/5b1p/2p5/P7/3NP1P1/5P1P/3R1K2 w - - 0 31,f1e2 c5c4 d3b4 d8d1 e2d1 b8b4,1645,77,94,4852,advantage endgame long,https://lichess.org/28yYfocf#61,,"['advantage', 'endgame', 'long']"
0i42u,8/8/p5pp/5p2/kPK2P1P/8/6P1/8 b - - 0 39,h6h5 g2g3 a4a3 b4b5 a6b5 c4b5,1950,77,90,116,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/lGbnLAzd/black#78,,"['crushing', 'endgame', 'long', 'pawnEndgame', 'quietMove', 'zugzwang']"
4SRD1,rq1r1k1Q/1p3pb1/p1np1p2/1N2pN2/4P3/7R/PP3PPP/R5K1 b - - 6 26,g7h8 h3h8,492,94,87,191,mate mateIn1 middlegame oneMove,https://lichess.org/JPj5eX36/black#52,,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
2dGrY,r1b1qrk1/ppp1ppnp/3p1npQ/8/2PPN3/8/PP2PPP1/R3KBNR b KQ - 3 11,g7f5 e4f6 e7f6 h6h7,1121,85,93,332,kingsideAttack mate mateIn2 opening short,https://lichess.org/ID1pJ2Pr/black#22,Kings_Indian_Defense Kings_Indian_Defense_Other_variations,"['kingsideAttack', 'mate', 'mateIn2', 'opening', 'short']"
3xstm,5r2/6pk/2p1Br1p/1p1n1P1P/p2P1b1q/P1P5/1P2Q1R1/R1B3K1 w - - 11 28,e2g4 h4e1,1471,98,74,47,mate mateIn1 middlegame oneMove,https://lichess.org/SKKj2ucp#55,,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
0pQt9,8/8/8/5k2/8/2K4R/r6P/8 w - - 4 64,c3d3 a2a3 d3c4 a3h3,878,103,93,1221,crushing endgame master rookEndgame short skewer,https://lichess.org/k2JjY21k#127,,"['crushing', 'endgame', 'master', 'rookEndgame', 'short', 'skewer']"
2f5xN,8/1p3p2/p1p3k1/3pP1p1/3P2K1/2P3P1/PP6/8 b - - 3 40,b7b5 b2b4 f7f5 e5f6 g6f6 g4h5,2001,79,78,39,crushing enPassant endgame long pawnEndgame quietMove zugzwang,https://lichess.org/wH4PUqOE/black#80,,"['crushing', 'enPassant', 'endgame', 'long', 'pawnEndgame', 'quietMove', 'zugzwang']"
0M34d,r1r3k1/1R3pp1/p2p1q1p/2p1pP1P/P5Q1/2P5/2P3P1/1R4K1 b - - 2 23,f6d8 f5f6 d8f6 b1f1 f6e6 g4e6 f7e6 f1f7 g8h8 f7g7,2170,79,86,77,crushing endgame pin veryLong,https://lichess.org/pjSmzec9/black#46,,"['crushing', 'endgame', 'pin', 'veryLong']"
2lNXy,8/8/5pp1/p1kp3p/8/2PK1PP1/P5P1/8 w - - 0 36,f3f4 a5a4 f4f5 g6g5 g3g4 h5g4,2498,102,90,1462,crushing endgame long master pawnEndgame quietMove,https://lichess.org/QXAAemK3#71,,"['crushing', 'endgame', 'long', 'master', 'pawnEndgame', 'quietMove']"
2qIqi,4k3/1b1p1p1p/pr2pP1P/1p2P1r1/8/1P6/KPPR4/4R3 b - - 2 37,g5g2 d2g2 b7g2 e1g1 d7d6 g1g2,1151,80,83,710,advantage endgame long,https://lichess.org/FqaklVzw/black#74,,"['advantage', 'endgame', 'long']"
2bAga,r3kr2/3p2Qp/2bRp3/4P3/2p4P/6P1/PPP5/2K5 w q - 0 30,c1b1 f8f1 d6d1 f1d1,1013,178,25,8,endgame mate mateIn2 short,https://lichess.org/yaEq0yrz#59,,"['endgame', 'mate', 'mateIn2', 'short']"
4S7yl,6k1/ppb1r1pp/2p4q/3p1P2/8/2PB3r/PP2QR1P/R6K w - - 0 23,e2e7 h3h2 h1g1 h2h1 g1g2 h6h3,1765,77,96,1263,kingsideAttack long mate mateIn3 middlegame triangleMate,https://lichess.org/b5RUqRAf#45,,"['kingsideAttack', 'long', 'mate', 'mateIn3', 'middlegame', 'triangleMate']"
1Tvek,r4rk1/4b1pp/p3p1n1/2PpPp1P/1n3P2/2N1BNP1/1PPQ4/q1KR3R w - - 1 18,c3b1 b4a2,943,90,93,402,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/lDhNaEab#35,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation,"['mate', 'mateIn1', 'middlegame', 'oneMove', 'smotheredMate']"
0OagP,8/p4p2/1p4pk/2p1Q2p/7P/2P2qP1/r4P2/5RK1 b - - 0 38,a2e2 e5h8,1452,92,77,98,endgame mate mateIn1 oneMove,https://lichess.org/BwfzvgmA/black#76,,"['endgame', 'mate', 'mateIn1', 'oneMove']"
2Xkaf,r4r2/1p3pkp/4p3/3pP3/4q1P1/2Q1P3/5K2/2R4R b - - 2 28,f7f5 c3c7 f8f7 h1h7 g7h7 c7f7,1285,80,94,903,advantage attraction deflection endgame long,https://lichess.org/toyLUsrg/black#56,,"['advantage', 'attraction', 'deflection', 'endgame', 'long']"
